Adam	A Dong
Christ, Christian, Christianity	Cơ Đốc
Christianity	Cơ Đốc giáo
Bottom’s up!	Cạn bôi!
lawyer (Cao Dai)	Cải Trạng
Near East	Cận Động
Russian (Federated) Republic	Cộng Hòa Liên Bang Nga
the Socialist Republic of Vietnam	Cộng Hòa Xã Hội Chủ Nghĩa Việt Nam
Communist Vietnam	Cộng Sản Việt Nam
European Community	Cộng Đồng (Chung) Âu Châu
European Economic Community, EEC	Cộng Đồng Kinh Tế Âu Châu
Yellow Flag (rebels)	Cờ Vàng
Black Flag (rebels)	Cờ Đen
Post, Telephone, and Telegraph Office (PTT)	Cục Bưu Điện
Federal Reserve	Cục Dự trữ Liên bang
Food and Drug Administration, FDA	Cục Quản Trị Lương Thực và Dược Phẩm
Electricity Regulatory Authority of Vietnam (ERAV)	Cục Điều tiết điện lực
Take it easy	Cứ từ từ
Kyushu (region of Japan)	Cửu Châu
(river in Vietnam)	Cửu Long
Nine Sphere Palace (Cao Dai)	Cửu Trùng Đài
San Francisco	Cựu Kim Sơn
Old Testament	Cựu Ước
Medal of Honor	Danh Dự Bội Tinh
Israel	Do Thái
Judaism	Do Thái giáo
USOM	Du Xom
the Redemptorists	Dòng Chúa Cứu Thế
How’s business these days?	Dạo này ông có phát tài không?
the Milky Way	Dải Ngân hà
giám quản	GM
giá trị gia tăng (value added tax, VAT)	GTGT
Geneva	Geneve
Canada	Gia Nã Đại
John	Gioan
General Inspector (Cao Dai)	Giám Đạo
Catholic Church	Giáo Hội Công Giáo
pope (Cao Dai)	Giáo Tông
Jesus	Giê Su
giám đốc (director)	GĐ
Greece, Greek	Hi Lạp
the Classic of Filial Piety	Hiếu kinh
United States	Hiệp Chủng Quốc
National Rifle Association, NRA	Hiệp Hội Súng Quốc Gia
Heavenly Palace (Cao Dai)	Hiệp Thiên Đài
Nuclear non-proliferation treaty	Hiệp định không phổ biến vũ khí hạch nhân
(1) China; (2) flower, blossom	Hoa
United States, America	Hoa Kỳ
Chinese (language)	Hoa Ngữ
Washington	Hoa Thịnh Đốn
Sino-Vietnamese	Hoa Việt
Global Times (a Chinese daily newspaper)	Hoàn Cầu Thời Báo
Muslim brotherhood	Huynh đệ Hồi giáo
United States of America; American	Huê Kỳ
America, United States	Huê kỳ
Hue (city in Vietnam)	Huế
Greece, Greek	Hy Lạp
Holland, the Netherlands; Dutch	Hà Lan
Hanoi	Hà Nội
Korea	Hàn Quốc
Chinese	Hán
Seoul	Hán Thành
Sino-Vietnamese	Hán Việt
Chinese character, Hanzi	Hán tụ
Hitler	Hítle
Holland, the Netherlands; Dutch	Hòa Lan
Japanese studies	Hòa học
Japanese language or literature	Hòa văn
hội đồng quản trị	HĐQT
Hong Kong	Hương Cảng
Hawaii	Hạ Uy Di
House of Representatives	Hạ Viện
Hawaiian guitar	Hạ uy cầm
Hainan Island	Hải Nam
Haiphong	Hải Phòng
Vladivostok	Hải Sâm Uy
Leo, the Lion	Hải sư
Neptune	Hải vương tinh
(Vietnamese dynasty)	Hậu Lê
ground fault coefficient	Hệ số sự cố chạm đất
The‎‎y’ve rented them all already	Họ muốn hết rồi
Mars	Hỏa Tinh
Islam, Islamic	Hồi
Islam	Hồi Giáo
moderate Islam	Hồi Giáo ôn hòa
Pakistan	Hồi Quốc
Indo-Pakistani	Hồi Ấn
(early clan in Vietnamese history)	Hồng Bàng
Hong Kong	Hồng Công
Hong Kong	Hồng Kông
Red Cross	Hồng Thập Tự
legislative affairs director (Cao Dai)	Hộ Pháp
Cao Dai pope	Hộ Pháp Cao Đài
Red Cross	Hội Hồng Thập Tự
the Greater East Asia Conference	Hội Nghị đại đông Á
the League of Nations	Hội Quốc Liên
American Medical Association	Hội Y Sĩ Hoa Kỳ
Parent-Teacher Association, PTA	Hội phụ huynh học sinh
Amnesty International	Hội Ân Xá Quốc Tế
security council	Hội Đồng Bảo An
House of Peers	Hội đồng Quý Tộc
Iraq	I Rắc
Khoa Học và Kỹ Thuật	KH&KT
khoa học công nghẹ	KHCN
science and technology	KHĐT
Christopher Columbus	Kha Luân Bố
Science and Technology	Khoa Học và Kỹ Thuật
Hold on (a second)!	Khoan đã!
Vietnamese air force	Không Quân Việt Nam
No one asked us	Không ai hỏi chúng tôi hết
No one came at all	Không ai đến dốt cả
there is no life on the moon	Không có sự sống trên Trăng
Khmer Rouge	Khơ Me Đỏ
European Union	Khối Cộng Đồng Chung Âu châu
North Atlantic Treaty Organization, NATO	Khối Phòng Vệ Bắc Đại Tây Dương
The Greater East Asia Coprosperity Sphere	Khối Thịnh Vượng Chung Đại Đông Á
the Axis Alliance	Khối Trục
Arab block	Khối Ả Rập
How unfortunate!	Khổ chưa!
Confucius, Confucian	Khổng
Zhuge Liang	Khổng Minh
Zhuge Liang	Khổng Minh Gia Cát Lượng
Confucius	Khổng Tử
Confucianism	Khổng giáo
Christ	Ki Ri Xi Tô
Christ	Ki Tô
Christianity	Ki Tô Giáo
Venus	Kim Tinh
the Bible	Kinh Thánh
(a) Christian	Kitô hữu
Kremlin	Kremli
Liên Hiệp Quốc	LHQ
lời tòa soạn	LTS
Arhat	La Hán
Rome, Roman	La Mã
Lafayette	La Phương
Goddess of Anger	La Sát
Latin, Roman	La Tinh
to Romanize, Romanization	La Tinh hóa
(province name)	Lai Châu
the Russian Union, Federation	Liên Bang Nga
The Russian Federation is only a shadow of the former Soviet Union	Liên Bang Nga là một vang bóng của Liên Xô ngày xưa
Soviet Union	Liên Bang Sô Viết
Soviet Union	Liên Bang Xô Viết
British Commonwealth	Liên Hiệp Anh
African Union	Liên Hiệp Châu Phi
United Nations	Liên Hiệp Quốc
European Union	Liên Hiệp Âu Châu
World Wide Web	Liên Mạng Toàn Cầu
Russian Federation	Liên bang Nga
the Arab League	Liên đoàn Ả Rập
the ancient name of Hanoi	Long Biên
River God	Long Vương
London	Luân Đôn
Electrical Power Regulation	Luật Điện lực
One earns a lot of extra money in that position	Làm chỗ ấy bở lắm
Laos	Lào
I haven’t seen you in a long time	Lâu rồi không gặp anh
Lenin	Lê Nin
Sinus Medii	Lõm Giũa
Sinus Roris	Lõm Sương
Syngman Rhee	Lý Thừa Vãn
Bruce Lee	Lý Tiểu Long
Ryuukyu	Lưu Cầu
(Please) note that ~	Lưu ý là
old name for Vietnam	Lạc Vịet
How about going to the Thanh The (restaurant)?	Lại nhà hàng Thanh Thế đi !
Tibetan Buddhism	Lạt Ma Giáo
What can we use as evidence?	Lấy gì làm bằng?
Easter	Lễ Phục Sinh
Thanksgiving (American holiday)	Lễ Tạ Ơn
A polite greeting is better than a good meal	Lời chào cao hơn mâm cỗ
the Delta	Lục Tỉnh
Luxembourg	Lục Xuâm Bảo
Louis	Lữ Y
(Japanese) Self-Defense Forces	Lực Lượng Tự Vệ
Coast Guard	Lực lượng Tuần duyên
Mỹ Kim	MK
Macao or stroke lightly, graze	Ma Cao
Manila	Ma Ní
Mao Tse Tung	Mao Trạch Đông
Moscow	Matxcova
Meiji (Emperor of Japan)	Minh Trị
Meiji Restoration	Minh Trị Phục Hưng
(1) Cambodia, Cambodian; (2) to sleep; (3) cotton; (4) to be long	Miên
King of Cambodia	Miên hoàng
the Promised Land	Miên Đất Hứa
Burma (short for Miến Điện)	Miến
Burma	Miến Điện
Central Vietnam	Miền Trung
Middle East region	Miền Trung đông
Marxist-Leninist	Mác Lê
Marxist-Leninist	Mác Lê Nin
That motor uses kerosene	Máy này chạy bằng dầu tây
Malay	Mã Lai
Malaysia	Mã Lai Á
Manchuria	Mãn Châu
Mongolia	Mông Cổ
Cape of Good Hope	Mũi Hảo Vọng
Moscow	Mạc Tư Khoa
Mencius	Mạnh Tử
Mexico	Mễ Tây Cơ
The second	Mồng hai
the Tomb of the Unknown Solider	Mộ Chiến Sĩ Vô Danh
Jupiter	Mộc
America, USA, American	Mỹ
US dollar	Mỹ Kim
America	Mỹ châu
brown American, Hispanic-American, Latino-American	Mỹ nâu
white American	Mỹ trắng
yellow American, Asian-American	Mỹ vàng
black American, African-American	Mỹ đen
red American, Native American, American Indian	Mỹ đỏ
U.S.-Vietnam	Mỹ-Việt
Nhân Hàng Nhà Nước (National Bank of VN)	NN
Norway	Na Uy
Southern California	Nam Cali
South Pole	Nam Cực
Indonesia	Nam Dương
South Korea	Nam Hàn
Cochichina	Nam Kỳ
South America	Nam Mỹ
South Africa	Nam Phi
South Korea	Nam Triều Tiên
Yugoslavia	Nam Tư
Phenom Penh	Nam Vang
Russia(n)	Nga
Soviet Russia	Nga Sô
What are you yawning for?	Ngáp gì?
National Bank (of VN)	Ngân Hàng Nhà Nước
Vietnam Bank For Agriculture	Ngân Hàng Nông Nghiệp
Vietcombank	Ngân Hàng Thương Mại
Saigon Commercial Bank	Ngân Hàng Thương Mại Cổ Phần Sài Gòn
Incombank	Ngân Hàng Thương Mại Quốc Tế
World Bank	Ngân Hàng Thế Giới
Central Bank	Ngân Hàng Trung Ương
Bank for Investment and Development	Ngân Hàng Đầu Tư và Phát Triển
Global Petroleum Commercial Bank	Ngân hàng TMCP dầu khí toàn cầu
(Vietnamese dynasty)	Ngô
(first president of South Vietnam)	Ngô Đình Diệm
the Golden Temple	Ngôi đền Vàng Kinkaku-gi
(the) Pentagon	Ngũ Giác Đài
Hades	Ngọc tuyền
Social Security Office	Nha An Ninh Xã Hội Bắt Đầu
Confucianism	Nho Giáo
Confucian scholar	Nho gia
Confucian scholar	Nho giả
Confucianism	Nho học
Confucian scholars (collective)	Nho lâm
scholarly tradition	Nho phong
student of Confucianism	Nho sinh
(Confucian) scholar	Nho sĩ
Confucianism	Nho đạo
Athens	Nhã Ðiển
Japan, Japanese	Nhật
Japan, Japanese	Nhật Bản
Japanese emperor	Nhật Hoàng
the Jade Emperor	Nhọc Hoàng
Noah	Nhữ Y
Japan	Nhựt
He was arrested	Nó bị bắt rồi
He was sentenced to prison for three years	Nó bị kết án ba năm tù
He doesn’t have a temperature	Nó không sốt
He is very wicked	Nó ác lắm
Noah	Nô Ê
Nom (old Vietnamese writing system based on Chinese characters)	Nôm
Nghị Định Chính Phủ	NĐ-CP
Here lies ~ (on a gravestone)	Nơi đây an nghĩ
(airport in Hanoi)	Nội Bài
Inner Mongolia	Nội Mông
New York	Nữu Ước
phó giám đốc	P.GĐ
phó phòng	PP
Pete Peterson, (a) Democrat	Pete Peterson thuộc đảng Dân Chủ
Paul (Paulo)	Phao Lồi
Africa, African continent	Phi Châu
the Philippines; Filipino	Phi Luật Tân
MAC-V (Military Assistance Command - Vietnam)	Phái Bộ Viện Trợ Quân Sự
Falun Gong	Pháp Luân Công
French (language)	Pháp ngữ
Japan (literary)	Phù Tang
Fuji	Phú Sĩ
Fukien	Phúc Kiến
(1) Buddhist; (2) cooked rice	Phạn
Sanskrit studies, Buddhist studies	Phạn học
Sanskrit, Pali	Phạn ngữ
book in Sanskrit	Phạn thư
Sanskrit	Phạn tự
Pali canons	Phạn điển
Finland	Phần Lan
Buddha	Phật
Buddhism	Phật Giáo
Hinayana (Theravada) Buddhism, lesser path Buddhism	Phật Giáo tiểu thừa
Mahayana Buddhism, greater path Buddhism	Phật Giáo đại thừa
Buddhist (person)	Phật Tử
(study of) Buddhism	Phật học
Buddhist matters, affairs, activities	Phật sự
the birthday of Buddha	Phật Đản
archbishop (Cao Dai)	Phối Sư
Mandarin Chinese (language)	Quan thoại
Kanto (region of Japan)	Quan đông
acting pope	Quyền Giáo Tông
US Armed Forces	Quân Độ Hoa Kỳ
How can I forget	Quên thế nào được
National Mall (in Washington DC)	Quảng trường Quốc gia
Kwangtung	Quảng Đông
International Monetary Fund, IMF	Quỹ Tiền Tệ Quốc Tế
Rome	Roma
How come?, Why?, How so?	Sao vậy?
How come you’ll be gone so long?	Sao ông đi lâu vậy?
Saigon	Sài Gòn
Soviet	Sô Viết
to Sovietize	Sô Viết hóa
archivist (Cao Dai)	Sĩ Tải
Book of Prophesy (c. 1670)	Sấm Truyền Ca
Retirement Bureau	Sở Hưu Bổng
Tax Office	Sở Thuế Vụ
USIS	Sở Thông Tin Hoa Kỳ
British Embassy	Sứ Quán Anh
American Embassy	Sứ Quán Mỹ
Vietnamese Embassy	Sứ Quán Việt Nam
corporation	TCT
Tổng giám đốc	TGĐ
tây lịch	TL
trách nhiệm hữu hạn	TNHH
(abbreviation for Thành Phố Hồ Chí Minh)	TP.HCM
thành phố Hồ Chí Minh	TPHCM
Trung Quốc	TQ
(thủy quân lục chiến) Marines	TQLC
thủ tướng, tổng thống	TT
Buddhist trinity	Tam Bảo
(1) Tibet, Tibetan	Tang
sun	Thai Dương
Solar system	Thai Dương Hệ
(province name)	Thanh Hóa
Tiananmen	Thiên An Môn
Mikado	Thiên Hoàng
Palace of Wisdom (Cao Dai)	Thiên Hỉ Động
Tien Tsin	Thiên Tân
Libra (constellation)	Thiên bình
India	Thiên trúc
Uranus	Thiên vương tinh
Serpentarius, Ophiuchus	Thiên xà
Libra	Thiên xúng
Zen	Thiền học
Ho Chi Minh City (Saigon)	Thành Hồ
Ho Chi Minh City (Saigon)	Thành Phố Hồ Chí Minh
Thai	Thái
the Pacific Ocean	Thái Bình Dương
Tae Kwon Do	Thái Cực Đạo
Showa Restoration	Thái Hòa Phục Hưng
Thailand	Thái Lan
(name of a mountain in China)	Thái Sơn
Tartar, Mongol	Thát Đát
Vietnamese News Agency	Thông Tấn Xã Việt Nam
The Library of Congress	Thư Viện Quốc Hội Hoa Kỳ
Antiquity	Thượng Cổ
Shanghai	Thượng Hải
religious affairs director (Cao Dai)	Thượng Phẩm
secular affairs director (Cao Dai)	Thượng Sanh
God, Allah, the Almighty	Thượng Đế
Shinto	Thần đạo
the (World) Olympic Games	Thế Vận Hội
(Olympic) Winter Games	Thế vận hội mùa Đông
Turkey, Turkish	Thổ Nhĩ Kỳ
Switzerland, Swiss	Thụy Sĩ
Sweden	Thụy điển
historian (Cao Dai)	Thừa Sử
The Fairy and the Dragon (ancestors of the Vietnamese race)	Tiên Rồng
Japanese Industry Standard (JIS)	Tiêu Chuẩn Kỹ Nghệ Nhật Bản
Voice of America	Tiếng Nói Hoa Kỳ
instructor (Cao Dai)	Tiếp Dẫn Đạo Nhơn
Asia Minor	Tiểu Á
Asia minor	Tiểu Á Tế Á
Czechoslovakia	Tiệp Khắc
Korea	Triều Tiên
the Middle Ages	Trung Cổ
Chinese Communists, Communist China	Trung Cộng
China, Chinese	Trung Hoa
Communist China	Trung Hoa Cộng Sản
mainland China	Trung Hoa lục địa
simplified Chinese (characters)	Trung Hoa đơn giản
Central America	Trung Mỹ
Central Africa	Trung Phi
China	Trung Quốc
China shares a border with 14 countries	Trung Quốc chung biên cương với 14 quóc gia
China lost to Japan	Trung Quốc thua Nhật Bản
Central Vietnam	Trung Việt Nam
Central Asia	Trung Á
Central Europe	Trung Âu
middle east	Trung Đông
Investigator (Cao Dai)	Truyền Trạng
the Tale of Kieu (by Nguyễn Du)	Truyện Kiều
Pearl Harbor	Trân Châu Cảng
load recovery procedure	Trình tự phục hồi phụ tải
meditation hall (Cao Dai)	Trí Huệ Cung
Red Square (in Moscow)	Trường Đỏ
International Space Station	Trạm Không Gian Quốc Tế
(Vietnamese dynasty)	Trần
World War II, Second World War	Trận Thế Chiến Thứ Nhất
corsair	Tàu ô
Kitchen God	Táo quân
Singapore	Tân Gia Ba
Chinese press agency	Tân Hoa Xã
Tan Son Nhat (airport)	Tân Sơn Nhất
New Zealand	Tân Tây Lan
new president	Tân tổng thống
New Delphi	Tân Đề Li
New Testament	Tân Ước
West, Western, Occidental, French	Tây
Spain, Spanish	Tây Ban Nha
Siberia	Tây Bá Lợi á
(province name)	Tây Ninh
(Vietnamese dynasty)	Tây Sơn
Tibet, Tibetan	Tây Tạng
Western hemisphere	Tây bán cầu
Western-brand (e.g. product)	Tây hiệu
the West, Occident	Tây phương
Western Europe; the West, Occident	Tây Âu
West Germany	Tây Đức
West Indies	Tây Ấn
The White House	Tòa Bạch Ốc
economic court	Tòa Kinh Tế
Vatican; central building of a religion	Tòa Thánh
U.S. Supreme Court	Tòa Tối Cao Hoa Kỳ
Buddhist Protection Society	Tăng Đoàn Bảo Vệ Chánh Pháp
Cambodia’s future is still very unstable	Tương lai Cam Bốt còn nhiều bấp bênh
General Chang Kai Shek	Tướng Tưởng Giới Thạch
Goodbye, au revoir	Tạm biệt
Vietnamese version of the Cinderella story	Tấm Cám
Vietnamese New Year’s festival	Tết Nguyên Đán
Supreme Court	Tối Cao Pháp Viện
Organization for Security and Cooperation in Europe (OSCE)	Tổ Chức An Ninh và Hợp Tác Âu Châu
North Atlantic Treaty Organization (NATO)	Tổ Chức Hiệp Ước Bắc Đại Tây Dương
the International Standards Organization, ISO	Tổ Chức Tiêu Chuẩn Quốc Tế
World Health Organization, WHO	Tổ Chức Y Tế Thế Giới
General Secretary of the Communist Party	Tổng Bí Thư đảng CSVN
Postmaster General	Tổng Giám Đốc Bưu Chính
the Polish president became a puppet of Russia	Tổng Thống Ba Lan đã làm bù nhìn chi Ngã
Russian president	Tổng thống Nga
People’s Army (a newspaper)	Tờ Quân Đội Nhân Dân
Shikoku (region of Japan)	Tứ Quốc
Szechuan	Tứ Xuyên
Vietnamese king (1840-1883)	Tự Đức
Việt Công	VC
Việt Nam	VN
Việt Nam Công Hoa	VNCH
Warsaw	Vacxava
VC, Viet Cong	Vi Xi
Constitutional Court	Viện Bảo Hiến
National Institute of Health	Viện Sức Khỏe Quốc Gia
Vietnamese	Việt
Communist Vietnamese, Vietnamese Communists	Việt Cộng
Vietnamese - Chinese	Việt Hoa
Vietminh	Việt Minh
Vietnam, Vietnamese	Việt Nam
Republican Vietnam, the Republic of Vietnam	Việt Nam Cộng Hòa
Communist Vietnam	Việt Nam Cộng Sản
Vietnamese as well as Russian, Vietnamese and Russia alike	Việt Nam cũng như Nga
contemporary, modern-day VN	Việt Nam cận đại
Vietnamization; to translate into Vietnamese	Việt Nam hóa
Vietnam Economic Times	Việt Nam kinh tế thời báo
former Vietnam, Vietnam of old	Việt Nam ngày xưa
Communist Vietnamese, Vietnamese Communists	Việt cộng
to Vietnamize, make or translate into Vietnamese	Việt hóa
to transliterate someone’s name into Vietnamese	Việt hóa tên người
Vietnamese studies	Việt học
Vietnamese resident, overseas Vietnamese	Việt kiều
Vietnamese language	Việt ngữ
Vietnamese-English	Việt-Anh
Vietnamese-French	Việt-Pháp
Yunnan	Vân Nam
Vientiane	Vạn Tượng
Yes sir	Vậng ạ
Veda	Vệ Ðà
Persian Gulf	Vịnh Ba Tư
Gulf of Thailand	Vịnh Thái Lan
Bangkok	Vọng Các
Director of the Department of Science and Industry	Vụ trưởng Vụ Khoa học, Công nghệ
Please give (us) your opinion	Xin ông cho biết ý kiến
Please take a look	Xin ông cứ coi
Siam, Thailand	Xiêm
Soviet	Xô Viết
Jerusalem	Yêrusalem
Jesus	Yêsu
Jesus Christ	Yêsu Kitô
(1) (exclamation of surprise, regret, etc.); (2) sickle; (3) to rush, dash; (4) to gather; (5) to flatter, curry favor with, kiss up to; (6) area of 100 square meters	a
acetylene	a cê ti len
acid	a cít
to acidify	a cít hóa
acidity meter	a cít kế
to ape, imitate, follow	a dua
agar	a ga
glue, gelatin	a giao
Abigail; maidservant, maid, servant	a hoàn
alert	a léc
go ahead!, come on!; outward journey or trip	a lê
hello (on phone, in announcements), attention!	a lô
amateur	a ma tơ
amen	a men
close or intimate friend; to flatter	a mi
asbestos	a mi ăng
tonsil	a mi đan
amine	a min
amoeba, ameba	a míp
ammonia	a mô ni ắc
lover, sweetheart	a măng
aniline	a ni lin
anode	a nốt
apatite	a pa tít
opium	a phiến
morphine	a phiến trắng
apartheid	a pác thai
apéritif	a pê ri típ
arsenic	a sen
atropine	a trô pin
to follow, imitate, act as (an accomplice) come around (to a way of thinking); accomplice	a tòng
to follow	a tùng
to rush at someone	a vào người nào
acetylsalicylic acid	a xpi rin
acetylene	a xê ti len
acetone	a xê ton
acid	a xít
amino acid	a xít a min
aliphatic or fatty acid	a xít béo
adrenaline	a đrê na lin
acid	acít
(1) anyone, someone, who, whoever, everyone, anyone; (2) to pity, sympathize, empathize with; (3) dust, fine dirt	ai
everyone, everybody	ai ai
everyone	ai ai cũng
anyone, whoever, everyone	ai ai cũng đều
sad	ai bi
dirge, elegy, lament	ai ca
who (doesn’t)	ai chẳng
anyone, whoever, everyone, everybody	ai cũng
everyone knows	ai cũng biết
everyone says	ai cũng cho
everyone wants to go	ai cũng muốn đi hết
everyone has to	ai cũng phải
everyone is going	ai cũng đi hết
everybody likes him	ai cũng ưa nó
unexpectedly, astonishingly, amazingly	ai dè
mournful remembrance	ai hoài
someone else	ai khác
anyone can do	ai làm cũng được
grief and joy	ai lạc
anyone (who wants to) can do it	ai muốn làm cũng được
people do whatever they want	ai muốn làm gì thì làm
who knows?	ai mà biết được
who can remember?	ai mà nhớ được
anyone, everyone	ai nấy
anyone, everyone	ai nấy đều
